epoch,step,train_loss,train_acc,train_iou,train_dice
2,5500,0.001272,0.999463,0.983564,0.991704
2,5600,0.001308,0.999449,0.983023,0.991418
2,5700,0.002556,0.999091,0.973936,0.986536
2,5800,0.001614,0.999332,0.979796,0.989775
2,5900,0.001400,0.999413,0.981957,0.990885
2,6000,0.001378,0.999421,0.982646,0.991235
2,6100,0.001389,0.999414,0.982588,0.991206
2,6200,0.001360,0.999427,0.982677,0.991251
2,6300,0.001304,0.999449,0.983431,0.991635
2,6400,0.001317,0.999446,0.983356,0.991597
2,6500,0.001288,0.999458,0.983734,0.991790
2,6600,0.001347,0.999425,0.982602,0.991215
2,6700,0.001295,0.999453,0.983625,0.991734
2,6800,0.001330,0.999443,0.982898,0.991363
2,6900,0.002476,0.999048,0.974203,0.986580
2,7000,0.001895,0.999247,0.977539,0.988592
2,7100,0.001476,0.999376,0.980534,0.990156
2,7200,0.001397,0.999414,0.982156,0.990986
2,7300,0.001408,0.999407,0.981990,0.990901
2,7400,0.001484,0.999383,0.981521,0.990633
2,7500,0.001378,0.999422,0.982596,0.991210
2,7600,0.001319,0.999446,0.983095,0.991463
2,7700,0.001360,0.999425,0.982644,0.991233
2,7800,0.001272,0.999461,0.983390,0.991616
2,7900,0.001269,0.999464,0.983837,0.991844
2,8000,0.001255,0.999466,0.983678,0.991762
2,8100,0.001298,0.999450,0.983468,0.991654
2,8200,0.001242,0.999474,0.983970,0.991909
2,8300,0.001252,0.999469,0.983938,0.991895
2,8400,0.001685,0.999368,0.981689,0.990701
2,8500,0.001690,0.999307,0.979705,0.989675
2,8600,0.001488,0.999372,0.981208,0.990495
2,8700,0.001270,0.999459,0.983253,0.991546
2,8800,0.001294,0.999451,0.983175,0.991504
2,8900,0.001285,0.999455,0.983554,0.991700
2,9000,0.001267,0.999462,0.983544,0.991693
2,9100,0.001296,0.999451,0.983489,0.991664
2,9200,0.001248,0.999475,0.984138,0.991997
2,9300,0.001535,0.999391,0.981639,0.990652
2,9400,0.001519,0.999370,0.980852,0.990305
2,9500,0.001318,0.999444,0.982944,0.991378
2,9600,0.001281,0.999455,0.983339,0.991589
2,9700,0.001312,0.999444,0.983407,0.991624
2,9800,0.001217,0.999481,0.984055,0.991952
2,9900,0.001238,0.999472,0.983885,0.991867
2,10000,0.001227,0.999478,0.984030,0.991941
2,10100,0.001265,0.999460,0.983517,0.991679
2,10200,0.001248,0.999469,0.983781,0.991811
2,10300,0.001204,0.999490,0.984503,0.992182
2,10400,0.001259,0.999462,0.983906,0.991877
2,10500,0.001244,0.999473,0.984103,0.991978
2,10600,0.001215,0.999480,0.984411,0.992135
2,10700,0.001204,0.999489,0.984457,0.992158
3,100,0.001198,0.999490,0.984525,0.992193
3,200,0.001176,0.999502,0.984717,0.992291
3,300,0.001171,0.999502,0.985002,0.992437
3,400,0.001181,0.999497,0.984658,0.992261
3,500,0.001127,0.999518,0.985166,0.992518
3,600,0.001372,0.999440,0.983017,0.991417
3,700,0.001237,0.999475,0.983991,0.991921
3,800,0.001168,0.999506,0.984870,0.992369
3,900,0.001198,0.999489,0.984518,0.992189
3,1000,0.001194,0.999492,0.984510,0.992185
3,1100,0.001168,0.999502,0.985036,0.992454
3,1200,0.001181,0.999497,0.985016,0.992443
3,1300,0.001191,0.999491,0.984856,0.992361
3,1400,0.001140,0.999514,0.985223,0.992548
3,1500,0.001159,0.999508,0.985097,0.992484
3,1600,0.001186,0.999497,0.984697,0.992280
3,1700,0.001173,0.999498,0.984493,0.992177
3,1800,0.001126,0.999522,0.985258,0.992567
3,1900,0.001139,0.999515,0.985234,0.992553
3,2000,0.001130,0.999517,0.985206,0.992539
3,2100,0.001131,0.999519,0.985165,0.992518
3,2200,0.001110,0.999528,0.985513,0.992696
3,2300,0.001098,0.999533,0.985921,0.992902
3,2400,0.001137,0.999515,0.985336,0.992606
3,2500,0.001144,0.999511,0.985163,0.992518
3,2600,0.001133,0.999518,0.985316,0.992596
3,2700,0.001136,0.999516,0.985131,0.992501
3,2800,0.001078,0.999540,0.985805,0.992844
3,2900,0.001119,0.999524,0.985453,0.992666
3,3000,0.001122,0.999522,0.985477,0.992677
3,3100,0.001125,0.999519,0.985375,0.992625
3,3200,0.001079,0.999539,0.985900,0.992892
3,3300,0.001099,0.999532,0.985893,0.992889
3,3400,0.001082,0.999538,0.985718,0.992799
3,3500,0.001085,0.999535,0.985742,0.992812
3,3600,0.001102,0.999530,0.985799,0.992841
3,3700,0.001127,0.999520,0.985074,0.992472
3,3800,0.001086,0.999536,0.985685,0.992783
3,3900,0.001085,0.999536,0.985717,0.992800
3,4000,0.001111,0.999526,0.985753,0.992818
3,4100,0.001092,0.999531,0.985517,0.992698
3,4200,0.001136,0.999518,0.985586,0.992733
3,4300,0.001089,0.999537,0.985959,0.992922
3,4400,0.001123,0.999529,0.985610,0.992743
3,4500,0.001206,0.999490,0.984719,0.992292
3,4600,0.001410,0.999411,0.982016,0.990875
3,4700,0.001429,0.999402,0.981779,0.990792
3,4800,0.001265,0.999463,0.983982,0.991915
3,4900,0.001880,0.999306,0.979516,0.989539
3,5000,0.001365,0.999432,0.983025,0.991425
3,5100,0.001249,0.999472,0.983921,0.991886
3,5200,0.001222,0.999484,0.984323,0.992087
3,5300,0.001183,0.999498,0.984734,0.992299
3,5400,0.001154,0.999510,0.985175,0.992523
3,5500,0.001126,0.999522,0.985683,0.992782
3,5600,0.001125,0.999517,0.985237,0.992555
3,5700,0.001101,0.999529,0.985462,0.992669
3,5800,0.001089,0.999537,0.985960,0.992922
3,5900,0.001076,0.999542,0.985907,0.992896
3,6000,0.001062,0.999546,0.986166,0.993028
3,6100,0.001081,0.999540,0.986056,0.992971
3,6200,0.001057,0.999546,0.986120,0.993003
3,6300,0.001066,0.999546,0.986252,0.993071
3,6400,0.001079,0.999536,0.986156,0.993022
3,6500,0.001061,0.999549,0.986341,0.993117
3,6600,0.001062,0.999545,0.986038,0.992962
3,6700,0.001057,0.999549,0.986203,0.993046
3,6800,0.001007,0.999569,0.986840,0.993370
3,6900,0.001054,0.999551,0.986410,0.993150
3,7000,0.001047,0.999555,0.986294,0.993092
3,7100,0.001051,0.999553,0.986590,0.993243
3,7200,0.001319,0.999472,0.984259,0.991969
3,7300,0.002380,0.999091,0.974581,0.986866
3,7400,0.001353,0.999430,0.982658,0.991241
3,7500,0.001209,0.999489,0.984386,0.992122
3,7600,0.001176,0.999505,0.985148,0.992511
3,7700,0.001131,0.999518,0.985357,0.992616
3,7800,0.001147,0.999515,0.985226,0.992548
3,7900,0.001072,0.999543,0.985879,0.992881
3,8000,0.001056,0.999552,0.986149,0.993019
3,8100,0.001078,0.999544,0.986274,0.993083
3,8200,0.001087,0.999537,0.986068,0.992978
3,8300,0.001045,0.999556,0.986533,0.993213
3,8400,0.001068,0.999545,0.986293,0.993092
3,8500,0.001050,0.999554,0.986463,0.993178
3,8600,0.001057,0.999549,0.986271,0.993080
3,8700,0.001050,0.999552,0.986535,0.993215
3,8800,0.001023,0.999562,0.986514,0.993205
3,8900,0.001049,0.999551,0.986520,0.993207
3,9000,0.001001,0.999573,0.986812,0.993356
3,9100,0.001049,0.999552,0.986454,0.993174
3,9200,0.001028,0.999565,0.986580,0.993238
3,9300,0.001009,0.999571,0.986924,0.993413
3,9400,0.001015,0.999568,0.986678,0.993287
3,9500,0.001034,0.999561,0.986759,0.993328
3,9600,0.000984,0.999579,0.987004,0.993453
3,9700,0.001037,0.999556,0.986349,0.993120
3,9800,0.001018,0.999566,0.986737,0.993318
3,9900,0.001002,0.999574,0.986992,0.993447
3,10000,0.000980,0.999578,0.986908,0.993404
3,10100,0.001042,0.999559,0.986746,0.993322
3,10200,0.001013,0.999569,0.986879,0.993389
3,10300,0.001044,0.999555,0.986560,0.993227
3,10400,0.000968,0.999587,0.987126,0.993516
3,10500,0.000986,0.999581,0.987062,0.993483
3,10600,0.001007,0.999572,0.986983,0.993441
3,10700,0.000998,0.999575,0.987100,0.993502
4,100,0.001002,0.999574,0.987096,0.993499
4,200,0.001074,0.999566,0.986854,0.993349
4,300,0.001396,0.999418,0.982788,0.991278
4,400,0.001644,0.999347,0.980730,0.990233
4,500,0.001439,0.999394,0.981803,0.990794
4,600,0.001144,0.999521,0.985425,0.992646
4,700,0.001129,0.999519,0.985543,0.992710
4,800,0.001079,0.999542,0.985998,0.992942
4,900,0.001064,0.999550,0.986548,0.993222
4,1000,0.001079,0.999541,0.986250,0.993070
4,1100,0.001013,0.999567,0.986573,0.993235
4,1200,0.001023,0.999563,0.986767,0.993333
4,1300,0.000990,0.999577,0.986995,0.993448
4,1400,0.000970,0.999589,0.987332,0.993619
4,1500,0.000985,0.999582,0.987228,0.993568
4,1600,0.001008,0.999571,0.986813,0.993355
4,1700,0.001041,0.999555,0.986668,0.993281
4,1800,0.000978,0.999583,0.987204,0.993553
4,1900,0.001007,0.999571,0.986801,0.993350
4,2000,0.000975,0.999584,0.987408,0.993658
4,2100,0.001022,0.999563,0.987000,0.993451
4,2200,0.001001,0.999571,0.987007,0.993454
4,2300,0.000979,0.999582,0.987155,0.993529
4,2400,0.001032,0.999560,0.986808,0.993354
4,2500,0.000957,0.999588,0.987444,0.993677
4,2600,0.000963,0.999589,0.987314,0.993610
4,2700,0.000983,0.999582,0.987262,0.993583
4,2800,0.000988,0.999580,0.987259,0.993582
4,2900,0.000985,0.999579,0.987210,0.993557
4,3000,0.000964,0.999587,0.987253,0.993579
4,3100,0.000956,0.999594,0.987559,0.993734
4,3200,0.000959,0.999591,0.987496,0.993703
4,3300,0.000961,0.999590,0.987708,0.993810
4,3400,0.000991,0.999576,0.987101,0.993501
4,3500,0.000976,0.999584,0.987420,0.993663
4,3600,0.000932,0.999603,0.987788,0.993851
4,3700,0.001015,0.999567,0.986978,0.993439
4,3800,0.000980,0.999584,0.987394,0.993651
4,3900,0.000983,0.999583,0.987294,0.993600
4,4000,0.000987,0.999581,0.987219,0.993562
4,4100,0.000979,0.999583,0.987253,0.993579
4,4200,0.000969,0.999587,0.987390,0.993648
4,4300,0.000952,0.999594,0.987713,0.993812
4,4400,0.000975,0.999587,0.987229,0.993567
4,4500,0.000951,0.999591,0.987527,0.993718
4,4600,0.000973,0.999584,0.987306,0.993605
4,4700,0.000931,0.999602,0.987742,0.993827
4,4800,0.000915,0.999609,0.987979,0.993947
4,4900,0.000940,0.999599,0.987488,0.993699
4,5000,0.000965,0.999588,0.987410,0.993658
4,5100,0.000971,0.999586,0.987506,0.993708
4,5200,0.000980,0.999582,0.987274,0.993589
4,5300,0.000950,0.999597,0.987720,0.993816
4,5400,0.000943,0.999596,0.987482,0.993695
4,5500,0.000954,0.999593,0.987518,0.993713
4,5600,0.000942,0.999599,0.987905,0.993910
4,5700,0.000960,0.999591,0.987368,0.993637
4,5800,0.000936,0.999600,0.987845,0.993880
4,5900,0.000992,0.999576,0.987042,0.993472
4,6000,0.000975,0.999582,0.987458,0.993683
4,6100,0.000912,0.999612,0.988062,0.993989
